과,이름,도,시,동
통증의학과,편안한통증의학과의원, ,대전광역시 서구,월평동
통증의학과,김남윤통증의학과의원,경기도,화성시,봉담읍
통증의학과,삼성21세기통증의학과의원,경기도,남양주시,다산동
통증의학과,효통증의학과의원, ,광주광역시 광산구,송정동
통증의학과,늘푸른통증의학과의원,경기도,성남시 중원구,금광동
통증의학과,하나통증의학과의원,강원도,동해시,천곡동
통증의학과,하이통증의학과의원, ,부산광역시 기장군,
통증의학과,길통증의학과의원, ,대구광역시 수성구,수성동1가
통증의학과,지행척척통증의학과의원,경기도,동두천시,지행동
통증의학과,황준구통증의학과의원,경기도,고양시 일산동구,장항동
통증의학과,혜인통증의학과의원, ,대전광역시 서구,관저동
통증의학과,라파통증의학과의원,경기도,안산시 단원구,원곡동
통증의학과,편안한통증의학과의원,전라북도,남원시,죽항동
통증의학과,박정민통증의학과의원,강원도,속초시,교동
통증의학과,힐통증의학과의원,경상북도,안동시,서부동
통증의학과,삼성연합통증의학과의원,충청남도,계룡시,엄사면
통증의학과,현대통증의학과의원,강원도,속초시,교동
통증의학과,행복한통증의학과의원, ,대구광역시 달성군,
통증의학과,영통에스통증의학과의원,경기도,수원시 영통구,영통동
통증의학과,하나통증의학과의원,경상북도,경주시,동부동
통증의학과,튼튼연합통증의학과의원,경상북도,포항시 북구,죽도동
통증의학과,충주우리정형외과통증의학과의원,충청북도,충주시,칠금동
통증의학과,굿모닝연합신경과통증의학과의원,경상북도,안동시,당북동
통증의학과,유스템통증의학과의원, ,대구광역시 남구,대명동
통증의학과,마디척마취통증의학과의원,경기도,용인시 처인구,김량장동
통증의학과,부천통증의학과의원,경기도,부천시,원미동
통증의학과,대경통증의학과의원, ,대구광역시 동구,봉무동
통증의학과,증평마취통증과의원,충청북도,증평군,
통증의학과,한얼통증의학과의원,서울특별시 도,구,쌍문동
통증의학과,밝은내일통증의학과의원,경상남도,김해시,삼계동
통증의학과,한결마취통증의학과의원,경기도,고양시 일산서구,일산동
통증의학과,서울탑통증의학과의원,경기도,의정부시,호원동
통증의학과,김창연제통마취통증과의원,경상북도,경산시,하양읍
통증의학과,삼성통증의학과의원,경기도,성남시 수정구,신흥동
통증의학과,강남통증의학과의원,경기도,광주시,경안동
통증의학과,영수통증의학과의원, ,서울특별시 관악구,봉천동
통증의학과,사명통증의학과의원,경기도,의왕시,내손동
통증의학과,화원통증의학과의원, ,대구광역시 달성군,
통증의학과,상동메가통증의학과의원,경기도,부천시,상동
통증의학과,성모마취통증의학과의원, ,광주광역시 동구,학동
통증의학과,연세통증의학과의원,강원도,춘천시,중앙로2가
통증의학과,서울드림통증의학과의원,경기도,안양시 동안구,호계동
통증의학과,더튼튼마취통증의학과의원,전라북도,남원시,죽항동
통증의학과,연아통증의학과의원,경상남도,창녕군,
통증의학과,무안베스트통증의학과의원,전라남도,무안군,
통증의학과,화인통증의학과의원, ,서울특별시 중구,황학동
통증의학과,김용석통증의학과의원,제주특별자치도,제주시,연동
통증의학과,하나통증의학과의원,충청남도,금산군,
통증의학과,서울통증의학과의원,경기도,여주시,홍문동
통증의학과,참조은통증의학과의원, ,대전광역시 대덕구,법동
통증의학과,미래통증의학과의원, ,광주광역시 광산구,월계동
통증의학과,제일통증의학과의원,전라남도,장성군,
통증의학과,녹십자마취통증의학과의원,전라남도,무안군,
통증의학과,삼성통증의학과의원,경상북도,영주시,하망동
통증의학과,편한통증의학과의원, ,대전광역시 유성구,송강동
통증의학과,성남척척통증의학과의원,경기도,성남시 수정구,수진동
통증의학과,다나통증의학과의원,전라남도,강진군,
통증의학과,부평현대통증의학과의원, ,인천광역시 부평구,산곡동
통증의학과,수앤미통증의학과의원,세종특별자치시  도,동,
통증의학과,리더스통증의학과의원, ,울산광역시 남구,야음동
통증의학과,장현연세통증의학과의원,경기도,남양주시,진접읍
